Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
WF2EZ;TK-E6 110-160A;RELE' TERMICO PER CONTATTORE SC-E6/E7 - 110-160A; 	93,78 ;
WF2FW;TK-N8 65-95A;RELE' TERMICO PER CONTATTORE SC-N8 - 65-95A; 	131,90 ;
WF2FY;TK-N8 85-125A;RELE' TERMICO PER CONTATTORE SC-N8 - 85-125A; 	131,90 ;
WF2GC;TK-N8 125-185A;RELE' TERMICO PER CONTATTORE SC-N8 - 125-185A; 	131,90 ;
WF2GZ;TK-N10 85-125A;RELE' TERMICO PER CONTATTORE SC-N10 - 85-125A; 	269,00 ;
WF2HB;TK-N10 110-160A;RELE' TERMICO PER CONTATTORE SC-N10 - 110-160A; 	269,00 ;
WF2HD;TK-N10 125-185A;RELE' TERMICO PER CONTATTORE SC-N10 - 125-185A; 	269,00 ;
WF2HF;TK-N10 160-240A;RELE' TERMICO PER CONTATTORE SC-N10 - 160-240A; 	269,00 ;
WF2JC;TK-N12 110-160A;RELE' TERMICO PER CONTATTORE SC-N11/N12 - 110-160A; 	368,10 ;
WF2JG;TK-N12 160-240A;RELE' TERMICO PER CONTATTORE SC-N11/N12 - 160-240A; 	368,10 ;
WF2JL;TK-N12 240-360A;RELE' TERMICO PER CONTATTORE SC-N11/N12 - 240-360A; 	368,10 ;
WF2JN;TK-N12 300-450A;RELE' TERMICO PER CONTATTORE SC-N11/N12 - 300-450A; 	368,10 ;
WF2KK;TK-N14 240-360A;RELE' TERMICO PER CONTATTORE SC-N14 - 240-360A; 	505,90 ;
WF2KM;TK-N14 300-450A;RELE' TERMICO PER CONTATTORE SC-N14 - 300-450A; 	505,90 ;
WF2KP;TK-N14 400-600A;RELE' TERMICO PER CONTATTORE SC-N14 - 400-600A; 	505,90 ;
Accessori - per Contattori serie SC e SH - Contatti Ausiliari;;;;
WH1EZ;SZ-A40-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 4NA PER SC DA 4 A 40kW, SH; 	14,24 ;
WH1FC;SZ-A31-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 3NA+1NC PER SC DA 4 A 40kW, SH ; 	14,24 ;
WH1FF;SZ-A22-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 2NA+2NC PER SC DA 4 A 40kW, SH; 	14,24 ;
WH1FJ;SZ-A20-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 2NA  PER SC DA 4 A 40kW, SH; 	9,33 ;
WH1FM;SZ-A11-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 1NA+1NC PER SC DA 4 A 40kW, SH ; 	9,33 ;
WH1FQ;SZ-A02-CF;BLOCCO CONTATTI AUSILIARI FRONTALI 2NC PER SC DA 4 A 40kW, SH ; 	9,33 ;
WH1FT;SZ-A222-CF;CONTATTI AUSILIARI FRONT 2NA(ANTIC.)+2NC(RITARD.) PER SC DA 4 A 40kW, SH; 	19,56 ;
WH1FW;SZ-A111-CF;CONTATTI AUSILIARI FRONT 1NA(ANTIC.)+1NC(RITARD.) PER SC DA 4 A 40kW, SH; 	12,22 ;
WH1LA;SZ-AS1-CF;BLOCCO CONTATTI AUSILIARI LATERALE 1NA+1NC PER SC DA 4 A 40kW, SH; 	11,23 ;
WH1LD;SZ-AS2-CF;BLOCCO CONTATTI AUSILIARI LATERALE 1NA+1NC PER SC DA 55 A 220kW; 	11,23 ;
Accessori - per Contattori serie SC e SH - Moduli Antidisturbo;;;;
WH1RM;SZ-Z1;VARISTORE 24-48V AC/DC PER SC DA 4 A 11kW, SH; 	9,29 ;
WH1SB;SZ-Z2;VARISTORE 100-250V AC/DC PER SC DA 4 A 11kW, SH ; 	9,29 ;
WH1SE;SZ-Z3;VARISTORE 380-440V AC/DC PER SC DA 4 A 11kW, SH ; 	9,29 ;
WH1SH;SZ-Z6;VARISTORE 24-48V AC/DC LED PER SC DA 4 A 11kW, SH ; 	12,07 ;
WH1SL;SZ-Z7;VARISTORE 100-250V AC/DC LED PER SC DA 4 A 11kW, SH; 	12,07 ;
WH1TK;SZ-Z4;MODULO ANTIDISTURBO R-C 24-48V AC/DC PER SC DA 4 A 11kW, SH ; 	9,64 ;
WH1TN;SZ-Z5;MODULO ANTIDISTURBO R-C 100-250V AC/DC PER SC DA 4 A 11kW, SH; 	9,64 ;
WH1TR;SZ-Z8;MODULO ANTIDISTURBO R-C 24-48V AC/DC LED PER SC DA 4 A 11kW, SH ; 	12,43 ;
WH1TU;SZ-Z9;MODULO ANTIDISTURBO R-C 100-250V AC/DC LED PER SC DA 4 A 11kW, SH; 	12,43 ;
WH1UA;SZ-Z31;VARISTORE 24-48 V AC/DC PER SC DA 15 A 40kW; 	16,42 ;
WH1UD;SZ-Z32;VARISTORE 100-240 V AC/DC PER SC DA 15 A 40kW; 	16,42 ;
WH1UG;SZ-Z33;VARISTORE 380-440 V AC/DC PER SC DA 15 A 40kW; 	16,42 ;
WH1UK;SZ-Z34;MODULO ANTIDISTURBO R-C 24-48 V AC PER SC DA 15 A 40kW; 	17,14 ;
WH1UN;SZ-Z35;MODULO ANTIDISTURBO R-C 100-240 V AC PER SC DA 15 A 40kW ; 	17,14 ;
WH1UR;SZ-Z36;MODULO ANTIDISTURBO R-C 24-48 V DC PER SC DA 15 A 40kW ; 	17,14 ;
WH1UV;SZ-Z37;MODULO ANTIDISTURBO R-C 100-240 V DC PER SC DA 15 A 40kW ; 	17,14 ;
Accessori - per Contattori serie SC e SH - Bobine di Ricambio;;;;
WH4GA;SZOGME-C20G;BOBINA 24V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GB;SZOGMC-C20G;BOBINA 42V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GC;SZOGMF-C20G;BOBINA 48V AC PER SC DA 4 A 11kW, SH  ; 	13,38 ;
WH4GD;SZOGM1-C20G;BOBINA 100V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GE;SZOGMH-C20G;BOBINA 110V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GF;SZOGMK-C20G;BOBINA 120V AC PER SC DA 4 A 11kW, SH  ; 	13,38 ;
WH4GG;SZOGM2-C20G;BOBINA 200V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GH;SZOGMM-C20G;BOBINA 220V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GJ;SZOGMP-C20G;BOBINA 240V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GK;SZOGMS-C20G;BOBINA 380V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GL;SZOGM4-C20G;BOBINA 400V AC PER SC DA 4 A 11kW, SH  ; 	13,38 ;
WH4GM;SZOGMT-C20G;BOBINA 440V AC PER SC DA 4 A 11kW, SH ; 	13,38 ;
WH4GN;SZOGM5-C20G;BOBINA 500V AC PER SC DA 4 A 11kW, SH  ; 	13,38 ;
WH4HV;SZ-GM/E1 AC24V ;BOBINA 24V 50Hz / 24-26V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4HW;SZ-GM/E1 AC42V ;BOBINA 38-42V 50Hz / 42-46V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4HX;SZ-GM/E1 AC48V ;BOBINA 48V 50Hz / 48-52V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4HY;SZ-GM/E1 AC100V ;BOBINA 100V 50Hz / 100-110V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4HZ;SZ-GM/E1 AC110V ;BOBINA 100-110V 50Hz / 110-120V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JA;SZ-GM/E1 AC120V ;BOBINA 110-120V 50Hz / 120-130V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JB;SZ-GM/E1 AC200V ;BOBINA 200V 50Hz / 200-220V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JC;SZ-GM/E1 AC220V ;BOBINA 200-220V 50Hz / 220-240V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JD;SZ-GM/E1 AC240V ;BOBINA 220-240V 50Hz / 240-260V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JE;SZ-GM/E1 AC380V ;BOBINA 346-380V 50Hz / 380-420V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JF;SZ-GM/E1 AC400V ;BOBINA 380-400V 50Hz / 400-440V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JG;SZ-GM/E1 AC440V ;BOBINA 415-440V 50Hz / 440-480V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JH;SZ-GM/E1 AC500V ;BOBINA 480-500V 50Hz / 500-550V 60Hz PER SC DA 15 A 22kW  ; 	21,23 ;
WH4JJ;SZ-GG/E1 DC24V ;BOBINA 24V DC PER SC DA 15 A 22kW  ; 	38,10 ;
WH4JK;SZ-GG/E1 DC48V ;BOBINA 48V DC PER SC DA 15 A 22kW   ; 	38,10 ;
WH4JL;SZ-GG/E1 DC60V ;BOBINA 60V DC PER SC DA 15 A 22kW  ; 	38,10 ;
WH4JN;SZ-GG/E1 DC110V ;BOBINA 110V DC PER SC DA 15 A 22kW   ; 	38,10 ;
WH4JS;SZ-GG/E1 DC220V ;BOBINA 220V DC PER SC DA 15 A 22kW  ; 	38,10 ;
WH4JT;SZ-GM/E3 AC24V ;BOBINA 24V 50Hz / 24-26V 60Hz PER SC DA 30 A 40kW  ; 	23,02 ;
WH4JU;SZ-GM/E3 AC42V ;BOBINA 38-42V 50Hz / 42-46V 60Hz PER SC DA 30 A 40kW ; 	23,02 ;
WH4JV;SZ-GM/E3 AC48V ;BOBINA 48V 50Hz / 48-52V 60Hz PER SC DA 30 A 40kW ; 	23,02 ;
WH4JW;SZ-GM/E3 AC100V ;BOBINA 100V 50Hz / 100-110V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4JX;SZ-GM/E3 AC110V ;BOBINA 100-110V 50Hz / 110-120V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4JY;SZ-GM/E3 AC120V ;BOBINA 110-120V 50Hz / 120-130V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4JZ;SZ-GM/E3 AC200V ;BOBINA 200V 50Hz / 200-220V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KA;SZ-GM/E3 AC220V ;BOBINA 200-220V 50Hz / 220-240V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KB;SZ-GM/E3 AC240V ;BOBINA 220-240V 50Hz / 240-260V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KC;SZ-GM/E3 AC380V ;BOBINA 346-380V 50Hz / 380-420V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KD;SZ-GM/E3 AC400V ;BOBINA 380-400V 50Hz / 400-440V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KE;SZ-GM/E3 AC440V ;BOBINA 415-440V 50Hz / 440-480V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KF;SZ-GM/E3 AC500V ;BOBINA 480-500V 50Hz / 500-550V 60Hz PER SC DA 30 A 40kW; 	23,02 ;
WH4KG;SZ-GG/E3 DC24V ;BOBINA 24V DC PER SC DA 30 A 40kW; 	41,01 ;
WH4KH;SZ-GG/E3 DC48V ;BOBINA 48V DC PER SC DA 30 A 40kW; 	41,01 ;
WH4KJ;SZ-GG/E3 DC60V ;BOBINA 60V DC PER SC DA 30 A 40kW; 	41,01 ;
WH4KL;SZ-GG/E3 DC110V ;BOBINA 110V DC PER SC DA 30 A 40kW; 	41,01 ;
WH4KQ;SZ-GG/E3 DC220V ;BOBINA 220V DC PER SC DA 30 A 40kW ; 	41,01 ;
WH4KR;SZ-GS/E5 24V ;BOBINA 24-25V 50/60 Hz - 24V DC PER SC DA 55kW ; 	187,70 ;
WH4KS;SZ-GS/E5 48V ;BOBINA 48-50V 50/60 Hz - 48V DC PER SC DA 55kW ; 	187,70 ;
WH4KT;SZ-GS/E5 100V ;BOBINA 100-127V 50/60 Hz - 110V DC PER SC DA 55kW ; 	187,70 ;
WH4KU;SZ-GS/E5 200V ;BOBINA 200-250V 50/60 Hz - 220V DC PER SC DA 55kW  ; 	187,70 ;
WH4KW;SZ-GS/E5 400V ;BOBINA 380-450V 50/60 Hz PER SC DA 55kW ; 	187,70 ;
WH4KX;SZ-GS/E5 500V ;BOBINA 460-575V 50/60 Hz PER SC DA 55kW ; 	187,70 ;
WH4KY;SZ-GS/E6 24V ;BOBINA 24-25V 50/60 Hz - 24V DC PER SC DA 60 A 75kW  ; 	206,60 ;
WH4KZ;SZ-GS/E6 48V ;BOBINA 48-50V 50/60 Hz - 48V DC PER SC DA 60 A 75kW; 	206,60 ;
WH4LA;SZ-GS/E6 100V ;BOBINA 100-127V 50/60 Hz - 110V DC PER SC DA 60 A 75kW; 	206,60 ;
WH4LB;SZ-GS/E6 200V ;BOBINA 200-250V 50/60 Hz - 220V DC PER SC DA 60 A 75kW; 	206,60 ;
WH4LD;SZ-GS/E6 400V ;BOBINA 380-450V 50/60 Hz PER SC DA 60 A 75kW; 	206,60 ;
WH4LE;SZ-GS/E6 500V ;BOBINA 460-575V 50/60 Hz PER SC DA 60 A 75kW; 	206,60 ;
WH4LF;SZ-GS/N8 24V ;BOBINA 24-25V 50/60 Hz - 24V DC PER SC DA 90 A 110kW; 	234,50 ;
WH4LG;SZ-GS/N8 48V ;BOBINA 48-50V 50/60 Hz - 48V DC PER SC DA 90 A 110kW; 	234,50 ;
WH4LH;SZ-GS/N8 100V ;BOBINA 100-127V 50/60 Hz - 110V DC PER SC DA 90 A 110kW ; 	234,50 ;
WH4LJ;SZ-GS/N8 200V ;BOBINA 200-250V 50/60 Hz - 220V DC PER SC DA 90 A 110kW; 	234,50 ;
WH4LL;SZ-GS/N8 400V ;BOBINA 380-450V 50/60 Hz PER SC DA 90 A 110kW; 	234,50 ;
WH4LM;SZ-GS/N8 500V ;BOBINA 460-575V 50/60 Hz PER SC DA 90 A 110kW; 	234,50 ;
WH4LN;SZ-GS/N11 24V ;BOBINA 24-25V 50/60 Hz - 24V DC PER SC DA 160 A 220kW; 	256,20 ;
WH4LP;SZ-GS/N11 48V ;BOBINA 48-50V 50/60 Hz - 48V DC PER SC DA 160 A 220kW; 	256,20 ;
WH4LQ;SZ-GS/N11 100V ;BOBINA 100-127V 50/60 Hz - 110V DC PER SC DA 160 A 220kW ; 	256,20 ;
WH4LR;SZ-GS/N11 200V ;BOBINA 200-250V 50/60 Hz - 220V DC PER SC DA 160 A 220kW; 	256,20 ;
WH4LT;SZ-GS/N11 400V ;BOBINA 380-450V 50/60 Hz PER SC DA 160 A 220kW; 	256,20 ;
WH4LU;SZ-GS/N11 500V ;BOBINA 460-575V 50/60 Hz PER SC DA 160 A 220kW; 	256,20 ;
Accessori - per Contattori serie SC e SH - Vari;;;;
WH1VB;SZ-J;MOD CONTEGGIO MANOVRE SENZA SEGNAL PER SC DA 4 A 40kW; 	49,52 ;
WH1VR;SZ-J1;MOD CONTEGGIO MANOVRE CON SEGNAL A 1 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1VU;SZ-J2;MOD CONTEGGIO MANOVRE CON SEGNAL A 2 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1VX;SZ-J3;MOD CONTEGGIO MANOVRE CON SEGNAL A 3 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1WA;SZ-J4;MOD CONTEGGIO MANOVRE CON SEGNAL A 4 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1WD;SZ-J5;MOD CONTEGGIO MANOVRE CON SEGNAL A 5 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1WG;SZ-J6;MOD CONTEGGIO MANOVRE CON SEGNAL A 6 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1WK;SZ-J7;MOD CONTEGGIO MANOVRE CON SEGNAL A 7 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH1WN;SZ-J8;MOD CONTEGGIO MANOVRE CON SEGNAL A 8 MIL PER SC DA 4 A 40kW; 	62,97 ;
WH3YV;SZ-BW2A;CONTATTO NA DI SEGNALAZ SALDATURA PER CONTATT SC TUTTI; 	91,95 ;
WH3YW;SZ-BW2B;CONTATTO NC DI SEGNALAZ SALDATURA PER CONTATT SC TUTTI; 	91,95 ;
WH1XJ;SZ-N8T;PROTEZ CONTATTI POTENZA 3 POLI PER SC DA 90 A 110kW; 	56,18 ;
WH1XK;SZ-N11T;PROTEZ CONTATTI POTENZA 3 POLI PER SC DA 160 A 220kW; 	70,94 ;
WH2CM;SZ-RM;UNITA' INTERBLOCCO MECCANICO PER CONTATTORI SC DA 4 A 40kW; 	14,18 ;
WH2DA;SZ-RW1;KIT COLLEGAMENTO TELEINVERTITORE PER SC DA 4 A 5,5kW; 	1,79 ;
WH2DB;SZ-RW2;KIT COLLEGAMENTO TELEINVERTITORE PER SC DA 7,5 A 11kW; 	1,79 ;
WH4DK;SZ-ERW1/A; LINK DI COLLEGAMENTO RIGIDO PER PARALLELO DA 4 A 11 KW PER CONTATTORI SCE02 E03 E04 E05; 	6,90 ;
WH4DL;SZ-ERW1/B; LINK DI COLLEGAMENTO RIGIDO PER INVERSIONE DA 4 A 11 KW PER CONTATTORI SCE02 E03 E04 E05; 	6,90 ;
WH4DN;SZ-ERW2/A; LINK DI COLLEGAMENTO RIGIDO PER PARALLELO DA 15 A 22 KW PER CONTATTORI SCE1 E2 E2S; 	18,35 ;
WH4DP;SZ-ERW2/B; LINK DI COLLEGAMENTO RIGIDO PER INVERSIONE DA 15 A 22 KW PER CONTATTORI SCE1 E2 E2S; 	18,35 ;
WH4DR;SZ-ERW3/A; LINK DI COLLEGAMENTO RIGIDO PER PARALLELO DA 30 A 40 KW PER CONTATTORI SCE3 E4; 	32,34 ;
WH4DS;SZ-ERW3/B; LINK DI COLLEGAMENTO RIGIDO PER INVERSIONE DA 30 A 40 KW PER CONTATTORI SCE3 E4; 	32,34 ;
G3ZVU;ZR5SD025;RELE' TEMPORIZZATORE STELLA TRIANGOLO 12-240V AC/DC 2 CONTATTI IN SCAMBIO; 	135,40 ;
Accessori - per Relè Termici TK;;;;
WH3WX;SZ-R1;PROLUNGA RESET TERMICO 0N/5-1N 300MM; 	85,17 ;
WH3XA;SZ-R2;PROLUNGA RESET TERMICO 0N/5-1N 500MM; 	98,41 ;
WH3XD;SZ-R3;PROLUNGA RESET TERMICO 0N/5-1N 700MM; 	112,30 ;
WH3XG;SZ-R4;PROLUNGA RESET RELE' TERMICO TK-E2/E6 300 MM; 	71,90 ;
WH3XK;SZ-R5;PROLUNGA RESET RELE' TERMICO TK-E2/E6 500 MM; 	83,79 ;
WH3XN;SZ-R6;PROLUNGA RESET RELE' TERMICO TK-E2/E6 700 MM; 	95,63 ;
WH3YP;SZ-L100;INDICATORE INTERVENTO 110V AC TERMICO 0N/5-1N E TKN8/N12; 	10,48 ;
WH3YS;SZ-L200;INDICATORE INTERVENTO 220V AC TERMICO 0N/5-1N E TKN8/N12; 	10,48 ;
WH3YU;SZ-L100 N2;INDICATORE INTERVENTO 110V AC RELE' TERMICO TK-E2/E6; 	7,62 ;
WH3YZ;SZ-L200 N2;INDICATORE INTERVENTO 220V AC RELE' TERMICO TK-E2/E6; 	7,62 ;
WH4AS;SZ-DA;PROTEZIONE TARATURA PER TUTTI I RELE' TERMICI; 	1,74 ;
WH4BG;SZ-HB;BASE MONTAGGIO SEPARATO PER TERMICO TK-0N; 	7,33 ;
WH4BK;SZ-HC;BASE MONTAGGIO SEPARATO PER TERMICO TK-5-1N; 	9,43 ;
WH4BN;SZ-HDE;BASE MONTAGGIO SEPARATO RELE' TERMICO TK-E2; 	19,79 ;
WH4BR;SZ-HEE;BASE MONTAGGIO SEPARATO RELE' TERMICO TK-E3; 	24,57 ;
WH4BZ;SZ-T10;PROTEZIONE CONTATTI BASE HB; 	2,44 ;
WH4CC;SZ-T11;PROTEZIONE CONTATTI BASE HC; 	2,44 ;
INTERRUTTORI PROTEZIONE MOTORE SIEI ARTEl/FE;;;;
Interruttori Magnetotermici Protezione Motore - Serie BM3 - Grandezza fino 32 A - Levetta a Bilico Icu 100/50/25 kA;;;;
WN1EE;BM3RSB-P16;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.1-0.16A 100kA; 	54,19 ;
WN1EH;BM3RSB-P25;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.16-0.25A 100kA; 	54,19 ;
WN1EL;BM3RSB-P40;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.25-0.4A 100kA; 	54,19 ;
WN1EP;BM3RSB-P63;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.4-0.63A 100kA; 	54,19 ;
WN1ES;BM3RSB-001;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.63-1A 100kA; 	58,36 ;
WN1EV;BM3RSB-1P6;INTERRUTTORE PROTETTORE MAGNETOTERMICO 1-1.6A 100kA; 	58,36 ;
WN1EY;BM3RSB-2P5;INTERRUTTORE PROTETTORE MAGNETOTERMICO 1.6-2.5A 100kA; 	58,36 ;
WN1FB;BM3RSB-004;INTERRUTTORE PROTETTORE MAGNETOTERMICO 2.5-4A 100kA; 	58,36 ;
WN1FE;BM3RSB-6P3;INTERRUTTORE PROTETTORE MAGNETOTERMICO 4.0-6.3A 100kA; 	58,36 ;
WN1FH;BM3RSB-010;INTERRUTTORE PROTETTORE MAGNETOTERMICO 6.3-10A 100kA; 	64,62 ;
WN1FL;BM3RSB-013;INTERRUTTORE PROTETTORE MAGNETOTERMICO 9-13A 50kA; 	64,62 ;
WN1FP;BM3RSB-016;INTERRUTTORE PROTETTORE MAGNETOTERMICO 11-16A 25kA; 	64,62 ;
WN1FS;BM3RSB-020;INTERRUTTORE PROTETTORE MAGNETOTERMICO 14-20A 25kA; 	73,63 ;
WN1FV;BM3RSB-025;INTERRUTTORE PROTETTORE MAGNETOTERMICO 19-25A 25kA; 	80,57 ;
WN1FY;BM3RSB-032;INTERRUTTORE PROTETTORE MAGNETOTERMICO 24-32A 25kA; 	80,57 ;
Interruttori Magnetotermici Protezione Motore - Serie BM3 - Grandezza fino 32 A - Manovra Rotativa Icu 100/50kA;;;;
WN1GV;BM3RHB-P16;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.1-0.16A 100kA; 	61,78 ;
WN1GY;BM3RHB-P25;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.16-0.25A 100kA; 	61,78 ;
WN1HB;BM3RHB-P40;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.25-0.4A 100kA; 	61,78 ;
WN1HE;BM3RHB-P63;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.4-0.63A 100kA; 	61,78 ;
WN1JB;BM3RHB-001;INTERRUTTORE PROTETTORE MAGNETOTERMICO 0.63-1A 100kA; 	61,78 ;
WN1JE;BM3RHB-1P6;INTERRUTTORE PROTETTORE MAGNETOTERMICO 1-1.6A 100kA; 	61,78 ;
WN1JH;BM3RHB-2P5;INTERRUTTORE PROTETTORE MAGNETOTERMICO 1.6-2.5A 100kA; 	61,78 ;
WN1JL;BM3RHB-004;INTERRUTTORE PROTETTORE MAGNETOTERMICO 2.5-4A 100kA; 	61,78 ;
WN1JP;BM3RHB-6P3;INTERRUTTORE PROTETTORE MAGNETOTERMICO 4.0-6.3A 100kA; 	61,78 ;
WN1JS;BM3RHB-010;INTERRUTTORE PROTETTORE MAGNETOTERMICO 6.3-10A 100kA; 	70,88 ;
WN1JV;BM3RHB-013;INTERRUTTORE PROTETTORE MAGNETOTERMICO 9-13A 100kA; 	70,88 ;
WN1JY;BM3RHB-016;INTERRUTTORE PROTETTORE MAGNETOTERMICO 11-16A 50kA; 	70,88 ;
WN1KB;BM3RHB-020;INTERRUTTORE PROTETTORE MAGNETOTERMICO 14-20A 50kA; 	79,26 ;
WN1KE;BM3RHB-025;INTERRUTTORE PROTETTORE MAGNETOTERMICO 19-25A 50kA; 	89,61 ;
WN1KH;BM3RHB-032;INTERRUTTORE PROTETTORE MAGNETOTERMICO 24-32A 50kA; 	89,61 ;
Interruttori Magnetotermici Protezione Motore - Serie BM3 - Grandezza fino 63 A - Manovra Rotativa Icu 100/50/25 kA;;;;
WN1LE;BM3VSB-010;INTERRUTTORE PROTETTORE MAGNETOTERMICO 6.3-10A 100kA; 	133,20 ;
WN1LH;BM3VSB-013;INTERRUTTORE PROTETTORE MAGNETOTERMICO 9-13A 50kA; 	133,20 ;
WN1LL;BM3VSB-016;INTERRUTTORE PROTETTORE MAGNETOTERMICO 11-16A 25kA; 	133,20 ;
WN1LP;BM3VSB-020;INTERRUTTORE PROTETTORE MAGNETOTERMICO 14-20A 25kA; 	162,20 ;
WN1LS;BM3VSB-025;INTERRUTTORE PROTETTORE MAGNETOTERMICO 19-25A 25kA; 	162,20 ;
WN1LV;BM3VSB-032;INTERRUTTORE PROTETTORE MAGNETOTERMICO 24-32A 25kA; 	162,20 ;
WN1LY;BM3VSB-040;INTERRUTTORE PROTETTORE MAGNETOTERMICO 28-40A 25kA; 	162,20 ;
WN1MB;BM3VSB-050;INTERRUTTORE PROTETTORE MAGNETOTERMICO 35-50A 25kA; 	183,30 ;
WN1ME;BM3VSB-063;INTERRUTTORE PROTETTORE MAGNETOTERMICO 45-63A 25kA; 	183,30 ;
Interruttori Magnetotermici Protezione Motore - Serie BM3 - Grandezza fino 63 A - Manovra Rotativa Icu 100/50 kA;;;;
WN1NB;BM3VHB-010;INTERRUTTORE PROTETTORE MAGNETOTERMICO 6.3-10A 100kA; 	139,90 ;
WN1NE;BM3VHB-013;INTERRUTTORE PROTETTORE MAGNETOTERMICO 9-13A 50kA; 	139,90 ;
WN1NH;BM3VHB-016;INTERRUTTORE PROTETTORE MAGNETOTERMICO 11-16A 50kA; 	139,90 ;
WN1NL;BM3VHB-020;INTERRUTTORE PROTETTORE MAGNETOTERMICO 14-20A 50kA; 	196,50 ;
WN1NP;BM3VHB-025;INTERRUTTORE PROTETTORE MAGNETOTERMICO 19-25A 50kA; 	196,50 ;
WN1NS;BM3VHB-032;INTERRUTTORE PROTETTORE MAGNETOTERMICO 24-32A 50kA; 	196,50 ;
WN1NV;BM3VHB-040;INTERRUTTORE PROTETTORE MAGNETOTERMICO 28-40A 50kA; 	196,50 ;
WN1NY;BM3VHB-050;INTERRUTTORE PROTETTORE MAGNETOTERMICO 35-50A 50kA; 	204,40 ;
WN1PB;BM3VHB-063;INTERRUTTORE PROTETTORE MAGNETOTERMICO 45-63A 50kA; 	208,50 ;
Interruttori Magnetici Protezione Motore - Serie BM3 - Grandezza fino 32 A - Levetta a Bilico Icu 100/50/25 kA;;;;
WN1PY;BM3RSBK-P16;INTERRUTTORE PROTETTORE MAGNETICO 0.16A 100kA; 	54,19 ;
WN1QB;BM3RSBK-P25;INTERRUTTORE PROTETTORE MAGNETICO 0.25A 100kA; 	54,19 ;
WN1QE;BM3RSBK-P40;INTERRUTTORE PROTETTORE MAGNETICO 0.4A 100kA; 	54,19 ;
WN1QH;BM3RSBK-P63;INTERRUTTORE PROTETTORE MAGNETICO 0.63A 100kA; 	54,19 ;
WN1QL;BM3RSBK-001;INTERRUTTORE PROTETTORE MAGNETICO 1A 100kA; 	58,36 ;
WN1QP;BM3RSBK-1P6;INTERRUTTORE PROTETTORE MAGNETICO 1.6A 100kA; 	58,36 ;
WN1QS;BM3RSBK-2P5;INTERRUTTORE PROTETTORE MAGNETICO 2.5A 100kA; 	58,36 ;
WN1QV;BM3RSBK-004;INTERRUTTORE PROTETTORE MAGNETICO 4A 100kA; 	58,36 ;
